Name,Location,Price,Cuisine,Longitude,Latitude,Award,GreenStar,FacilitiesAndServices,Stars,Country
NARA NIKON,"Nara, Japan",3,Japanese,135.829383,34.686899,2 Stars,0,"Air conditioning,Counter dining",twoStar,Japan
Oro,"Rio de Janeiro, Brazil",4,Creative,-43.22471,-22.98601,2 Stars,0,"Air conditioning,Valet parking",twoStar,Brazil
Evvai,"São Paulo, Brazil",4,"Modern Cuisine, Brazilian",-46.6790725,-23.5670869,2 Stars,0,"Air conditioning,Bring your own bottle,Valet parking,Wheelchair access",twoStar,Brazil
D.O.M.,"São Paulo, Brazil",4,Creative,-46.667572,-23.5661451,2 Stars,0,"Air conditioning,Interesting wine list,Valet parking",twoStar,Brazil
Lasai,"Rio de Janeiro, Brazil",4,"Modern Cuisine, Innovative",-43.1964089,-22.9532398,2 Stars,0,"Air conditioning,Counter dining,Valet parking",twoStar,Brazil
Tuju,"São Paulo, Brazil",4,Creative,-46.6855567,-23.5805339,2 Stars,1,"Air conditioning,Interesting wine list,Valet parking,Wheelchair access",twoStar,Brazil
Ru Yuan,"Hangzhou, China Mainland",4,Zhejiang,120.1174357,30.2556553,2 Stars,0,"Air conditioning,Car park,Interesting wine list",twoStar,China Mainland
Maison Colette,"Tongerlo, Belgium",4,"French, Modern Cuisine",4.916895,51.1038295,2 Stars,0,"Air conditioning,Car park,Interesting wine list,Terrace",twoStar,Belgium
Hertog Jan at Botanic,"Antwerpen, Belgium",4,"Creative, Asian Influences",4.4054987,51.2145635,2 Stars,0,"Air conditioning,Interesting wine list,Valet parking,Wheelchair access",twoStar,Belgium
La Table de Maxime,"Our, Belgium",4,"Modern Cuisine, French",5.1224546,49.9600036,2 Stars,0,"Air conditioning,Car park,Interesting wine list,Terrace",twoStar,Belgium
L'air du temps,"Liernu, Belgium",4,"Creative, Modern Cuisine",4.8329862,50.5927328,2 Stars,1,"Car park,Garden or park,Interesting wine list,Terrace,Wheelchair access",twoStar,Belgium
L'Eau Vive,"Arbre, Belgium",4,"Modern French, Modern Cuisine",4.8469885,50.3636851,2 Stars,0,"Air conditioning,Car park,Great view,Interesting wine list,Terrace",twoStar,Belgium
Sir Kwinten,"Sint-Kwintens-Lennik, Belgium",4,"Modern Cuisine, French",4.1554453,50.8056605,2 Stars,0,"Air conditioning,Interesting wine list,Terrace",twoStar,Belgium
Slagmolen,"Opglabbeek, Belgium",4,"Traditional Cuisine, French",5.6155142,51.0432542,2 Stars,0,"Air conditioning,Car park,Interesting wine list,Terrace",twoStar,Belgium
d'Eugénie à Emilie,"Baudour, Belgium",4,"Classic French, Traditional Cuisine",3.8379089,50.4833038,2 Stars,0,"Air conditioning,Interesting wine list",twoStar,Belgium
De Jonkman,"Sint-Kruis, Belgium",4,Creative,3.2782036,51.2077602,2 Stars,0,"Car park,Interesting wine list,Terrace",twoStar,Belgium
